TIME_PERIOD,REF_AREA,MEASURE,COUNTRY,MEASURE_CAT,UNIT,SEX,OBS_VALUE
1/1/1975,JPN,Fat supply,Japan,FTS,Grammes per person per day,Male,62.2
1/1/1975,JPN,Fat supply,Japan,FTS,Grammes per person per day,Female,62.2
1/1/1975,NLD,Fat supply,Netherlands,FTS,Grammes per person per day,Total,119.5
1/1/1975,NLD,Fat supply,Netherlands,FTS,Grammes per person per day,Male,119.5
1/1/1975,NLD,Fat supply,Netherlands,FTS,Grammes per person per day,Female,119.5
1/1/1975,PER,Fat supply,Peru,FTS,Grammes per person per day,Total,51.2
1/1/1975,PER,Fat supply,Peru,FTS,Grammes per person per day,Male,51.2
1/1/1975,PER,Fat supply,Peru,FTS,Grammes per person per day,Female,51.2
1/1/1975,ROU,Fat supply,Romania,FTS,Grammes per person per day,Total,85.5
1/1/1975,ROU,Fat supply,Romania,FTS,Grammes per person per day,Male,85.5
1/1/1975,ROU,Fat supply,Romania,FTS,Grammes per person per day,Female,85.5
1/1/1975,ZAF,Fat supply,South Africa,FTS,Grammes per person per day,Total,64.5
1/1/1975,ZAF,Fat supply,South Africa,FTS,Grammes per person per day,Male,64.5
1/1/1975,ZAF,Fat supply,South Africa,FTS,Grammes per person per day,Female,64.5
1/1/1975,SWE,Fat supply,Sweden,FTS,Grammes per person per day,Total,118.7
1/1/1975,SWE,Fat supply,Sweden,FTS,Grammes per person per day,Male,118.7
1/1/1975,SWE,Fat supply,Sweden,FTS,Grammes per person per day,Female,118.7
1/1/1975,GBR,Fat supply,United Kingdom,FTS,Grammes per person per day,Total,132.6
1/1/1975,GBR,Fat supply,United Kingdom,FTS,Grammes per person per day,Male,132.6
1/1/1975,GBR,Fat supply,United Kingdom,FTS,Grammes per person per day,Female,132.6
1/1/1975,USA,Fat supply,United States,FTS,Grammes per person per day,Total,117.8
1/1/1975,USA,Fat supply,United States,FTS,Grammes per person per day,Male,117.8
1/1/1975,USA,Fat supply,United States,FTS,Grammes per person per day,Female,117.8
1/1/1975,WLD,Fat supply,World,FTS,Grammes per person per day,Female,84.04666667
1/1/1975,WLD,Fat supply,World,FTS,Grammes per person per day,Male,84.04666667
1/1/1975,WLD,Fat supply,World,FTS,Grammes per person per day,Total,84.04666667
1/1/1975,ARG,Fruits supply,Argentina,FRS,Kilogrammes per person per year,Total,70.1
1/1/1975,ARG,Fruits supply,Argentina,FRS,Kilogrammes per person per year,Male,70.1
1/1/1975,ARG,Fruits supply,Argentina,FRS,Kilogrammes per person per year,Female,70.1
1/1/1975,AUS,Fruits supply,Australia,FRS,Kilogrammes per person per year,Total,90
1/1/1975,AUS,Fruits supply,Australia,FRS,Kilogrammes per person per year,Male,90
1/1/1975,AUS,Fruits supply,Australia,FRS,Kilogrammes per person per year,Female,90
1/1/1975,CHN,Fruits supply,China,FRS,Kilogrammes per person per year,Total,5.1
1/1/1975,CHN,Fruits supply,China,FRS,Kilogrammes per person per year,Male,5.1
1/1/1975,CHN,Fruits supply,China,FRS,Kilogrammes per person per year,Female,5.1
1/1/1975,HRV,Fruits supply,Croatia,FRS,Kilogrammes per person per year,Total,58.8
1/1/1975,HRV,Fruits supply,Croatia,FRS,Kilogrammes per person per year,Male,58.8
1/1/1975,HRV,Fruits supply,Croatia,FRS,Kilogrammes per person per year,Female,58.8
1/1/1975,FIN,Fruits supply,Finland,FRS,Kilogrammes per person per year,Total,83.4
1/1/1975,FIN,Fruits supply,Finland,FRS,Kilogrammes per person per year,Male,83.4
1/1/1975,FIN,Fruits supply,Finland,FRS,Kilogrammes per person per year,Female,83.4
1/1/1975,IND,Fruits supply,India,FRS,Kilogrammes per person per year,Total,24.2
1/1/1975,IND,Fruits supply,India,FRS,Kilogrammes per person per year,Male,24.2
1/1/1975,IND,Fruits supply,India,FRS,Kilogrammes per person per year,Female,24.2
1/1/1975,IDN,Fruits supply,Indonesia,FRS,Kilogrammes per person per year,Total,26.1
1/1/1975,IDN,Fruits supply,Indonesia,FRS,Kilogrammes per person per year,Male,26.1
1/1/1975,IDN,Fruits supply,Indonesia,FRS,Kilogrammes per person per year,Female,26.1
1/1/1975,JPN,Fruits supply,Japan,FRS,Kilogrammes per person per year,Total,61.9
1/1/1975,JPN,Fruits supply,Japan,FRS,Kilogrammes per person per year,Male,61.9
1/1/1975,JPN,Fruits supply,Japan,FRS,Kilogrammes per person per year,Female,61.9
1/1/1975,NLD,Fruits supply,Netherlands,FRS,Kilogrammes per person per year,Total,84.6
1/1/1975,NLD,Fruits supply,Netherlands,FRS,Kilogrammes per person per year,Male,84.6
1/1/1975,NLD,Fruits supply,Netherlands,FRS,Kilogrammes per person per year,Female,84.6
1/1/1975,PER,Fruits supply,Peru,FRS,Kilogrammes per person per year,Total,127.2
1/1/1975,PER,Fruits supply,Peru,FRS,Kilogrammes per person per year,Male,127.2
1/1/1975,PER,Fruits supply,Peru,FRS,Kilogrammes per person per year,Female,127.2
1/1/1975,ROU,Fruits supply,Romania,FRS,Kilogrammes per person per year,Total,28.3
1/1/1975,ROU,Fruits supply,Romania,FRS,Kilogrammes per person per year,Male,28.3
1/1/1975,ROU,Fruits supply,Romania,FRS,Kilogrammes per person per year,Female,28.3
1/1/1975,ZAF,Fruits supply,South Africa,FRS,Kilogrammes per person per year,Total,29.9
1/1/1975,ZAF,Fruits supply,South Africa,FRS,Kilogrammes per person per year,Male,29.9
1/1/1975,ZAF,Fruits supply,South Africa,FRS,Kilogrammes per person per year,Female,29.9
1/1/1975,SWE,Fruits supply,Sweden,FRS,Kilogrammes per person per year,Total,85.8
1/1/1975,SWE,Fruits supply,Sweden,FRS,Kilogrammes per person per year,Male,85.8
1/1/1975,SWE,Fruits supply,Sweden,FRS,Kilogrammes per person per year,Female,85.8
1/1/1975,GBR,Fruits supply,United Kingdom,FRS,Kilogrammes per person per year,Total,54.9
1/1/1975,GBR,Fruits supply,United Kingdom,FRS,Kilogrammes per person per year,Male,54.9
1/1/1975,GBR,Fruits supply,United Kingdom,FRS,Kilogrammes per person per year,Female,54.9
1/1/1975,USA,Fruits supply,United States,FRS,Kilogrammes per person per year,Total,100.9
1/1/1975,USA,Fruits supply,United States,FRS,Kilogrammes per person per year,Male,100.9
1/1/1975,USA,Fruits supply,United States,FRS,Kilogrammes per person per year,Female,100.9
1/1/1975,WLD,Fruits supply,World,FRS,Kilogrammes per person per year,Female,62.08
1/1/1975,WLD,Fruits supply,World,FRS,Kilogrammes per person per year,Male,62.08
1/1/1975,WLD,Fruits supply,World,FRS,Kilogrammes per person per year,Total,62.08
1/1/1975,ARG,Protein supply,Argentina,PRS,Grammes per person per day,Total,100.7
1/1/1975,ARG,Protein supply,Argentina,PRS,Grammes per person per day,Male,100.7
1/1/1975,ARG,Protein supply,Argentina,PRS,Grammes per person per day,Female,100.7
1/1/1975,AUS,Protein supply,Australia,PRS,Grammes per person per day,Total,112
1/1/1975,AUS,Protein supply,Australia,PRS,Grammes per person per day,Male,112
1/1/1975,AUS,Protein supply,Australia,PRS,Grammes per person per day,Female,112
1/1/1975,CHN,Protein supply,China,PRS,Grammes per person per day,Total,47.3
1/1/1975,CHN,Protein supply,China,PRS,Grammes per person per day,Male,47.3
1/1/1975,CHN,Protein supply,China,PRS,Grammes per person per day,Female,47.3
1/1/1975,HRV,Protein supply,Croatia,PRS,Grammes per person per day,Total,59.5
1/1/1975,HRV,Protein supply,Croatia,PRS,Grammes per person per day,Male,59.5
1/1/1975,HRV,Protein supply,Croatia,PRS,Grammes per person per day,Female,59.5
1/1/1975,FIN,Protein supply,Finland,PRS,Grammes per person per day,Total,94.8
1/1/1975,FIN,Protein supply,Finland,PRS,Grammes per person per day,Male,94.8
1/1/1975,FIN,Protein supply,Finland,PRS,Grammes per person per day,Female,94.8
1/1/1975,IND,Protein supply,India,PRS,Grammes per person per day,Total,50.7
1/1/1975,IND,Protein supply,India,PRS,Grammes per person per day,Male,50.7
1/1/1975,IND,Protein supply,India,PRS,Grammes per person per day,Female,50.7
1/1/1975,IDN,Protein supply,Indonesia,PRS,Grammes per person per day,Total,40.9
1/1/1975,IDN,Protein supply,Indonesia,PRS,Grammes per person per day,Male,40.9
1/1/1975,IDN,Protein supply,Indonesia,PRS,Grammes per person per day,Female,40.9
1/1/1975,JPN,Protein supply,Japan,PRS,Grammes per person per day,Total,85
1/1/1975,JPN,Protein supply,Japan,PRS,Grammes per person per day,Male,85
1/1/1975,JPN,Protein supply,Japan,PRS,Grammes per person per day,Female,85
1/1/1975,NLD,Protein supply,Netherlands,PRS,Grammes per person per day,Total,92.5
1/1/1975,NLD,Protein supply,Netherlands,PRS,Grammes per person per day,Male,92.5
1/1/1975,NLD,Protein supply,Netherlands,PRS,Grammes per person per day,Female,92.5
1/1/1975,PER,Protein supply,Peru,PRS,Grammes per person per day,Total,76.5
1/1/1975,PER,Protein supply,Peru,PRS,Grammes per person per day,Male,76.5
1/1/1975,PER,Protein supply,Peru,PRS,Grammes per person per day,Female,76.5
1/1/1975,ROU,Protein supply,Romania,PRS,Grammes per person per day,Total,90.5
1/1/1975,ROU,Protein supply,Romania,PRS,Grammes per person per day,Male,90.5
1/1/1975,ROU,Protein supply,Romania,PRS,Grammes per person per day,Female,90.5
1/1/1975,ZAF,Protein supply,South Africa,PRS,Grammes per person per day,Total,76.2
1/1/1975,ZAF,Protein supply,South Africa,PRS,Grammes per person per day,Male,76.2
1/1/1975,ZAF,Protein supply,South Africa,PRS,Grammes per person per day,Female,76.2
1/1/1975,SWE,Protein supply,Sweden,PRS,Grammes per person per day,Total,92.2
1/1/1975,SWE,Protein supply,Sweden,PRS,Grammes per person per day,Male,92.2
1/1/1975,SWE,Protein supply,Sweden,PRS,Grammes per person per day,Female,92.2
1/1/1975,GBR,Protein supply,United Kingdom,PRS,Grammes per person per day,Total,89.1
1/1/1975,GBR,Protein supply,United Kingdom,PRS,Grammes per person per day,Male,89.1
1/1/1975,GBR,Protein supply,United Kingdom,PRS,Grammes per person per day,Female,89.1
1/1/1975,USA,Protein supply,United States,PRS,Grammes per person per day,Total,97.6
1/1/1975,USA,Protein supply,United States,PRS,Grammes per person per day,Male,97.6
1/1/1975,USA,Protein supply,United States,PRS,Grammes per person per day,Female,97.6
1/1/1975,WLD,Protein supply,World,PRS,Grammes per person per day,Female,80.36666667
1/1/1975,WLD,Protein supply,World,PRS,Grammes per person per day,Male,80.36666667
1/1/1975,WLD,Protein supply,World,PRS,Grammes per person per day,Total,80.36666667
1/1/1975,ARG,Share of population who are obese,Argentina,SP_OBS,Percentage of population,Female,13.3
1/1/1975,ARG,Share of population who are obese,Argentina,SP_OBS,Percentage of population,Male,8.9
1/1/1975,ARG,Share of population who are obese,Argentina,SP_OBS,Percentage of population,Total,11.1
1/1/1975,AUS,Share of population who are obese,Australia,SP_OBS,Percentage of population,Female,7.7
1/1/1975,AUS,Share of population who are obese,Australia,SP_OBS,Percentage of population,Male,9.1
1/1/1975,AUS,Share of population who are obese,Australia,SP_OBS,Percentage of population,Total,8.4
1/1/1975,CHN,Share of population who are obese,China,SP_OBS,Percentage of population,Female,0.7
1/1/1975,CHN,Share of population who are obese,China,SP_OBS,Percentage of population,Male,0.2
1/1/1975,CHN,Share of population who are obese,China,SP_OBS,Percentage of population,Total,0.4
1/1/1975,HRV,Share of population who are obese,Croatia,SP_OBS,Percentage of population,Female,12.3
1/1/1975,HRV,Share of population who are obese,Croatia,SP_OBS,Percentage of population,Male,6.2
1/1/1975,HRV,Share of population who are obese,Croatia,SP_OBS,Percentage of population,Total,9.4
1/1/1975,FIN,Share of population who are obese,Finland,SP_OBS,Percentage of population,Female,7.3
1/1/1975,FIN,Share of population who are obese,Finland,SP_OBS,Percentage of population,Male,6
1/1/1975,FIN,Share of population who are obese,Finland,SP_OBS,Percentage of population,Total,6.6
1/1/1975,IND,Share of population who are obese,India,SP_OBS,Percentage of population,Female,0.5
1/1/1975,IND,Share of population who are obese,India,SP_OBS,Percentage of population,Male,0.2
1/1/1975,IND,Share of population who are obese,India,SP_OBS,Percentage of population,Total,0.3
1/1/1975,IDN,Share of population who are obese,Indonesia,SP_OBS,Percentage of population,Female,0.6
1/1/1975,IDN,Share of population who are obese,Indonesia,SP_OBS,Percentage of population,Male,0.1
1/1/1975,IDN,Share of population who are obese,Indonesia,SP_OBS,Percentage of population,Total,0.4
1/1/1975,JPN,Share of population who are obese,Japan,SP_OBS,Percentage of population,Female,2.9
1/1/1975,JPN,Share of population who are obese,Japan,SP_OBS,Percentage of population,Male,1
1/1/1975,JPN,Share of population who are obese,Japan,SP_OBS,Percentage of population,Total,2.1
1/1/1975,NLD,Share of population who are obese,Netherlands,SP_OBS,Percentage of population,Female,6.2
1/1/1975,NLD,Share of population who are obese,Netherlands,SP_OBS,Percentage of population,Male,4
1/1/1975,NLD,Share of population who are obese,Netherlands,SP_OBS,Percentage of population,Total,5.1
1/1/1975,PER,Share of population who are obese,Peru,SP_OBS,Percentage of population,Female,8.2
1/1/1975,PER,Share of population who are obese,Peru,SP_OBS,Percentage of population,Male,2.8
1/1/1975,PER,Share of population who are obese,Peru,SP_OBS,Percentage of population,Total,5.5
1/1/1975,ROU,Share of population who are obese,Romania,SP_OBS,Percentage of population,Female,10.9
1/1/1975,ROU,Share of population who are obese,Romania,SP_OBS,Percentage of population,Male,5.9
1/1/1975,ROU,Share of population who are obese,Romania,SP_OBS,Percentage of population,Total,8.5
1/1/1975,ZAF,Share of population who are obese,South Africa,SP_OBS,Percentage of population,Female,15.2
1/1/1975,ZAF,Share of population who are obese,South Africa,SP_OBS,Percentage of population,Male,2
1/1/1975,ZAF,Share of population who are obese,South Africa,SP_OBS,Percentage of population,Total,8.7
1/1/1975,SWE,Share of population who are obese,Sweden,SP_OBS,Percentage of population,Female,5.2
1/1/1975,SWE,Share of population who are obese,Sweden,SP_OBS,Percentage of population,Male,4.9
1/1/1975,SWE,Share of population who are obese,Sweden,SP_OBS,Percentage of population,Total,5.5
1/1/1975,GBR,Share of population who are obese,United Kingdom,SP_OBS,Percentage of population,Female,8
1/1/1975,GBR,Share of population who are obese,United Kingdom,SP_OBS,Percentage of population,Male,6
1/1/1975,GBR,Share of population who are obese,United Kingdom,SP_OBS,Percentage of population,Total,7
1/1/1975,USA,Share of population who are obese,United States,SP_OBS,Percentage of population,Female,17
1/1/1975,USA,Share of population who are obese,United States,SP_OBS,Percentage of population,Male,12.7
1/1/1975,USA,Share of population who are obese,United States,SP_OBS,Percentage of population,Total,15
1/1/1975,WLD,Share of population who are obese,World,SP_OBS,Percentage of population,Female,7.733333333
1/1/1975,WLD,Share of population who are obese,World,SP_OBS,Percentage of population,Male,4.666666667
1/1/1975,WLD,Share of population who are obese,World,SP_OBS,Percentage of population,Total,6.266666667
1/1/1975,ARG,Sugar supply,Argentina,SGS,Kilogrammes per person per year,Total,47.2
1/1/1975,ARG,Sugar supply,Argentina,SGS,Kilogrammes per person per year,Male,47.2
1/1/1975,ARG,Sugar supply,Argentina,SGS,Kilogrammes per person per year,Female,47.2
1/1/1975,AUS,Sugar supply,Australia,SGS,Kilogrammes per person per year,Total,53.9
1/1/1975,AUS,Sugar supply,Australia,SGS,Kilogrammes per person per year,Male,53.9
1/1/1975,AUS,Sugar supply,Australia,SGS,Kilogrammes per person per year,Female,53.9
1/1/1975,CHN,Sugar supply,China,SGS,Kilogrammes per person per year,Total,2.9
1/1/1975,CHN,Sugar supply,China,SGS,Kilogrammes per person per year,Male,2.9
1/1/1975,CHN,Sugar supply,China,SGS,Kilogrammes per person per year,Female,2.9
1/1/1975,HRV,Sugar supply,Croatia,SGS,Kilogrammes per person per year,Total,44.9
1/1/1975,HRV,Sugar supply,Croatia,SGS,Kilogrammes per person per year,Male,44.9
1/1/1975,HRV,Sugar supply,Croatia,SGS,Kilogrammes per person per year,Female,44.9
1/1/1975,FIN,Sugar supply,Finland,SGS,Kilogrammes per person per year,Total,44.8
1/1/1975,FIN,Sugar supply,Finland,SGS,Kilogrammes per person per year,Male,44.8
1/1/1975,FIN,Sugar supply,Finland,SGS,Kilogrammes per person per year,Female,44.8
1/1/1975,IND,Sugar supply,India,SGS,Kilogrammes per person per year,Total,18.7
1/1/1975,IND,Sugar supply,India,SGS,Kilogrammes per person per year,Male,18.7
1/1/1975,IND,Sugar supply,India,SGS,Kilogrammes per person per year,Female,18.7
1/1/1975,IDN,Sugar supply,Indonesia,SGS,Kilogrammes per person per year,Total,12.9
1/1/1975,IDN,Sugar supply,Indonesia,SGS,Kilogrammes per person per year,Male,12.9
1/1/1975,IDN,Sugar supply,Indonesia,SGS,Kilogrammes per person per year,Female,12.9
1/1/1975,JPN,Sugar supply,Japan,SGS,Kilogrammes per person per year,Total,27.2
1/1/1975,JPN,Sugar supply,Japan,SGS,Kilogrammes per person per year,Male,27.2
1/1/1975,JPN,Sugar supply,Japan,SGS,Kilogrammes per person per year,Female,27.2
1/1/1975,NLD,Sugar supply,Netherlands,SGS,Kilogrammes per person per year,Total,46.9
1/1/1975,NLD,Sugar supply,Netherlands,SGS,Kilogrammes per person per year,Male,46.9
1/1/1975,NLD,Sugar supply,Netherlands,SGS,Kilogrammes per person per year,Female,46.9
1/1/1975,PER,Sugar supply,Peru,SGS,Kilogrammes per person per year,Total,21.7
1/1/1975,PER,Sugar supply,Peru,SGS,Kilogrammes per person per year,Male,21.7
1/1/1975,PER,Sugar supply,Peru,SGS,Kilogrammes per person per year,Female,21.7
1/1/1975,ROU,Sugar supply,Romania,SGS,Kilogrammes per person per year,Total,22.4
1/1/1975,ROU,Sugar supply,Romania,SGS,Kilogrammes per person per year,Male,22.4
1/1/1975,ROU,Sugar supply,Romania,SGS,Kilogrammes per person per year,Female,22.4
1/1/1975,ZAF,Sugar supply,South Africa,SGS,Kilogrammes per person per year,Total,46.5
1/1/1975,ZAF,Sugar supply,South Africa,SGS,Kilogrammes per person per year,Male,46.5
1/1/1975,ZAF,Sugar supply,South Africa,SGS,Kilogrammes per person per year,Female,46.5
1/1/1975,SWE,Sugar supply,Sweden,SGS,Kilogrammes per person per year,Total,46.3
1/1/1975,SWE,Sugar supply,Sweden,SGS,Kilogrammes per person per year,Male,46.3
1/1/1975,SWE,Sugar supply,Sweden,SGS,Kilogrammes per person per year,Female,46.3
1/1/1975,GBR,Sugar supply,United Kingdom,SGS,Kilogrammes per person per year,Total,46
1/1/1975,GBR,Sugar supply,United Kingdom,SGS,Kilogrammes per person per year,Male,46
1/1/1975,GBR,Sugar supply,United Kingdom,SGS,Kilogrammes per person per year,Female,46
1/1/1975,USA,Sugar supply,United States,SGS,Kilogrammes per person per year,Total,55.4
1/1/1975,USA,Sugar supply,United States,SGS,Kilogrammes per person per year,Male,55.4
1/1/1975,USA,Sugar supply,United States,SGS,Kilogrammes per person per year,Female,55.4
1/1/1975,WLD,Sugar supply,World,SGS,Kilogrammes per person per year,Female,35.84666667
1/1/1975,WLD,Sugar supply,World,SGS,Kilogrammes per person per year,Male,35.84666667
1/1/1975,WLD,Sugar supply,World,SGS,Kilogrammes per person per year,Total,35.84666667
1/1/1975,ARG,Vegetables supply,Argentina,VGS,Kilogrammes per person per year,Total,67.7
1/1/1975,ARG,Vegetables supply,Argentina,VGS,Kilogrammes per person per year,Male,67.7
1/1/1975,ARG,Vegetables supply,Argentina,VGS,Kilogrammes per person per year,Female,67.7
1/1/1975,AUS,Vegetables supply,Australia,VGS,Kilogrammes per person per year,Total,66.4
1/1/1975,AUS,Vegetables supply,Australia,VGS,Kilogrammes per person per year,Male,66.4
1/1/1975,AUS,Vegetables supply,Australia,VGS,Kilogrammes per person per year,Female,66.4
1/1/1975,CHN,Vegetables supply,China,VGS,Kilogrammes per person per year,Total,46.9
1/1/1975,CHN,Vegetables supply,China,VGS,Kilogrammes per person per year,Male,46.9
1/1/1975,CHN,Vegetables supply,China,VGS,Kilogrammes per person per year,Female,46.9
1/1/1975,HRV,Vegetables supply,Croatia,VGS,Kilogrammes per person per year,Total,53.6
1/1/1975,HRV,Vegetables supply,Croatia,VGS,Kilogrammes per person per year,Male,53.6
1/1/1975,HRV,Vegetables supply,Croatia,VGS,Kilogrammes per person per year,Female,53.6
1/1/1975,FIN,Vegetables supply,Finland,VGS,Kilogrammes per person per year,Total,25.9
1/1/1975,FIN,Vegetables supply,Finland,VGS,Kilogrammes per person per year,Male,25.9
1/1/1975,FIN,Vegetables supply,Finland,VGS,Kilogrammes per person per year,Female,25.9
1/1/1975,IND,Vegetables supply,India,VGS,Kilogrammes per person per year,Total,45.9
1/1/1975,IND,Vegetables supply,India,VGS,Kilogrammes per person per year,Male,45.9
1/1/1975,IND,Vegetables supply,India,VGS,Kilogrammes per person per year,Female,45.9
1/1/1975,IDN,Vegetables supply,Indonesia,VGS,Kilogrammes per person per year,Total,19
1/1/1975,IDN,Vegetables supply,Indonesia,VGS,Kilogrammes per person per year,Male,19
1/1/1975,IDN,Vegetables supply,Indonesia,VGS,Kilogrammes per person per year,Female,19
1/1/1975,JPN,Vegetables supply,Japan,VGS,Kilogrammes per person per year,Total,121.3
1/1/1975,JPN,Vegetables supply,Japan,VGS,Kilogrammes per person per year,Male,121.3
1/1/1975,JPN,Vegetables supply,Japan,VGS,Kilogrammes per person per year,Female,121.3
1/1/1975,NLD,Vegetables supply,Netherlands,VGS,Kilogrammes per person per year,Total,74.4
1/1/1975,NLD,Vegetables supply,Netherlands,VGS,Kilogrammes per person per year,Male,74.4
1/1/1975,NLD,Vegetables supply,Netherlands,VGS,Kilogrammes per person per year,Female,74.4
1/1/1975,PER,Vegetables supply,Peru,VGS,Kilogrammes per person per year,Total,67.8
1/1/1975,PER,Vegetables supply,Peru,VGS,Kilogrammes per person per year,Male,67.8
1/1/1975,PER,Vegetables supply,Peru,VGS,Kilogrammes per person per year,Female,67.8
1/1/1975,ROU,Vegetables supply,Romania,VGS,Kilogrammes per person per year,Total,111.4
